id;start_date;end_date;language
1;2020-02-04T05:22:41;2020-02-03T22:30:58;FRENCH
2;2020-02-03T15:58:56;2020-02-04T04:44:37;ENGLISH
3;2020-02-03T15:25:23;2020-02-03T17:21:43;FRENCH
4;2020-02-04T03:11:13;2020-02-03T19:32:51;ENGLISH
5;2020-02-04T06:20:48;2020-02-04T06:55:45;FRENCH
6;2020-02-03T12:36:06;2020-02-03T09:37:28;SPANISH
7;2020-02-03T21:46:09;2020-02-04T00:49:16;ENGLISH
8;2020-02-03T23:34:06;2020-02-04T07:58:44;FRENCH
9;2020-02-04T00:08:30;2020-02-04T08:45:54;ENGLISH
10;2020-02-03T17:19:26;2020-02-03T16:43:03;SPANISH
